"","roster_id","team","wk","matchup_id","points","opp_id","opp_team","opp_points","starters","full_name","starters_points","starter_slot","year"
"1409",11,"Collin",7,2,162.39,5,"Parker",206.94,6968,"Jordan Fuller",8.25,"DB2",2021
"1410",11,"Collin",7,2,162.39,5,"Parker",206.94,5436,"Emmanuel Moseley",11.25,"DB3",2021
"1411",11,"Collin",7,2,162.39,5,"Parker",206.94,3303,"Matt Judon",0.75,"DFLEX",2021
"1412",12,"Riley",7,6,140.44,6,"Frazier",196.56,1837,"Jimmy Garoppolo",5.24,"QB",2021
"1413",12,"Riley",7,6,140.44,6,"Frazier",196.56,7588,"Javonte Williams",14.2,"RB1",2021
"1414",12,"Riley",7,6,140.44,6,"Frazier",196.56,6828,"AJ Dillon",-0.7,"RB2",2021
"1415",12,"Riley",7,6,140.44,6,"Frazier",196.56,5848,"Marquise Brown",16.5,"WR1",2021
"1416",12,"Riley",7,6,140.44,6,"Frazier",196.56,6819,"Michael Pittman",18.5,"WR2",2021
"1417",12,"Riley",7,6,140.44,6,"Frazier",196.56,6789,"Henry Ruggs",5.1,"WR3",2021
"1418",12,"Riley",7,6,140.44,6,"Frazier",196.56,3214,"Hunter Henry",9.3,"TE",2021
"1419",12,"Riley",7,6,140.44,6,"Frazier",196.56,6853,"Van Jefferson",12.3,"FLEX",2021
"1420",12,"Riley",7,6,140.44,6,"Frazier",196.56,5119,"Jason Sanders",3,"K",2021
"1421",12,"Riley",7,6,140.44,6,"Frazier",196.56,7626,"Jayson Oweh",1.25,"DL1",2021
"1422",12,"Riley",7,6,140.44,6,"Frazier",196.56,4135,"Trey Hendrickson",8.25,"DL2",2021
"1423",12,"Riley",7,6,140.44,6,"Frazier",196.56,6781,"Isaiah Simmons",10.25,"LB1",2021
"1424",12,"Riley",7,6,140.44,6,"Frazier",196.56,5944,"Bobby Okereke",8,"LB2",2021
"1425",12,"Riley",7,6,140.44,6,"Frazier",196.56,6152,"Khari Willis",13,"DB1",2021
"1426",12,"Riley",7,6,140.44,6,"Frazier",196.56,6788,"Xavier McKinney",7.25,"DB2",2021
